image_name,iou,dice,pixel_accuracy,n_predicted,n_true,true_positives,false_positives,false_negatives,precision,recall,f1_score
03b9306f44e9b8951461623dcbd615550cdcf36ea93b203f2c8fa58ed1dffcbe,0.9349567994525079,0.9663851923898787,0.9823996913580247,19,19,19,0,0,1.0,1.0,1.0
9520aff4efe87bd8f3901652fa2dde9b4bc9c679325966145ce00c1ca33f35de,0.8226065048098946,0.9026704366949418,0.971636962890625,37,36,37,0,0,1.0,1.0,1.0
da8ca06ccbb4e2a8718f7c2939ef6cc3a4088981f660842ad885a8273e740d55,0.8892265193370166,0.9413656967392894,0.987762451171875,50,51,50,0,1,1.0,0.9803921568627451,0.99009900990099
d910b2b1be8406caecfe31a503d412ffc4e3d488286242ebc7381836121dd4ef,0.8873517786561265,0.9403141361256544,0.9921722412109375,17,21,17,0,4,1.0,0.8095238095238095,0.8947368421052632
b0d6dfcc95e4d087d232378f860fc3ef9f95ea5a4c26d623a0be091f820a793f,0.9276889534883721,0.9624882186616399,0.9969635009765625,21,22,21,0,1,1.0,0.9545454545454546,0.9767441860465117
4ff152d76db095f75c664dd48e41e8c9953fd0e784535883916383165e28a08e,0.9387069689336692,0.9683845820701602,0.9988861083984375,6,6,6,0,0,1.0,1.0,1.0
6b61ab2e3ff0e2c7a55fd71e290b51e142555cf82bc7574fc27326735e8acbd1,0.9027617541910581,0.9488962579814508,0.9811367152961981,128,124,128,0,1,1.0,0.9922480620155039,0.9961089494163424
245b995878370ef4ea977568b2b67f93d4ecaa9308761b9d3e148e0803780183,0.5930746561886051,0.7445660551872977,0.848297119140625,54,50,54,0,0,1.0,1.0,1.0
f6863b83d75e5927b30e2e326405b588293283c25aaef2251b30c343296b9cb1,0.7803368855276728,0.87661710754972,0.9219970703125,52,66,52,0,15,1.0,0.7761194029850746,0.8739495798319328
9cdac2870cfe65b6cb61bd151020068a3b427118a27343767b07ea39483fee32,0.8435827527012016,0.9151558306403024,0.9763641357421875,36,43,36,0,3,1.0,0.9230769230769231,0.9600000000000001
602f267432e7a573e1092f1cf48135c82d0fbc8722bc028b9330ec801a40bb18,0.8882978723404256,0.9408450704225352,0.9968086870026526,18,18,18,0,0,1.0,1.0,1.0
6d327ab4f0e3604fa6e9b8041c7e6db86ab809890d886c691f6e59c9168b7fbe,0.8324412983425414,0.9085598530173835,0.9526123046875,14,12,14,0,0,1.0,1.0,1.0
a02ec007ae8feddb758078b1dfb8010c26886fd3c8babdc308ead8b4a63acbdb,0.9215196894065446,0.9591571655361524,0.9929625331564986,64,63,61,3,3,0.953125,0.953125,0.953125
edd36ed822e7ed760ff73e0524df22aa5bf5c565efcdc6c39603239c0896e7a8,0.6162474136992269,0.7625656919552621,0.8924560546875,42,41,42,0,3,1.0,0.9333333333333333,0.9655172413793104
1d5f4717e179a03675a5aac3fc1c862fb442ddc3e373923016fd6b1430da889b,0.9412265758091993,0.9697235629662132,0.9989471435546875,7,7,7,0,0,1.0,1.0,1.0
24a20f2a529cede5695df2422a3986505b5826bb10b10781d6db2074cf3de7b3,0.7763421292083712,0.8740907693883824,0.98499755859375,27,31,27,0,6,1.0,0.8181818181818182,0.9
df33b11184427e05c8a450f921586685975fe975f57315e686a0f26fddb93db1,0.8375019913971643,0.911565805444772,0.98443603515625,36,40,36,0,5,1.0,0.8780487804878049,0.9350649350649352
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,0.8000335514175474,0.8889095992544268,0.9818115234375,18,23,18,0,6,1.0,0.75,0.8571428571428571
e5a7b8a9924b26b3abf039255a8a3bb00258f4966f68ff3349560b4350af9367,0.9556739936440678,0.9773346649288217,0.9896682098765432,16,16,16,0,0,1.0,1.0,1.0
9bb6e39d5f4415bc7554842ee5d1280403a602f2ba56122b87f453a62d37c06e,0.8567064300261856,0.9228237875107733,0.9672467302150299,82,82,82,0,2,1.0,0.9761904761904762,0.9879518072289156
ebc18868864ad075548cc1784f4f9a237bb98335f9645ee727dac8332a3e3716,0.8833884801953162,0.9380841918537217,0.9556884765625,12,16,12,0,3,1.0,0.8,0.888888888888889
1023509cf8d4c155467800f89508690be9513431992f470594281cd37dbd020d,0.9511921394379423,0.9749856205467714,0.9835570987654321,20,20,20,0,0,1.0,1.0,1.0
091944f1d2611c916b98c020bd066667e33f4639159b2a92407fe5a40788856d,0.7838170510494947,0.8788087888142364,0.9968175888061523,36,40,35,1,3,0.9722222222222222,0.9210526315789473,0.9459459459459458
fc9269fb2e651cd4a32b65ae164f79b0a2ea823e0a83508c85d7985a6bed43cf,0.9135514018691588,0.9548229548229549,0.998870849609375,5,5,5,0,0,1.0,1.0,1.0
20b20ab049372d184c705acebe7af026d3580f5fd5a72ed796e3622e1685af2f,0.7111837802485285,0.83121846812414,0.9856065584029537,233,283,233,0,57,1.0,0.803448275862069,0.8910133843212237
1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,0.8991769547325102,0.9469122426868906,0.9837533156498673,74,72,72,2,0,0.972972972972973,1.0,0.9863013698630138
